id,bubbleId,lon,lat,timestamp,cd,altitude,heading,extract,filename
1338985277,1033303310230331,-73.956662,40.743238,7/7/2021 17:19:00-04,7/7/2021 5:19:00 PM,4.645,105.025,17,103330331023033110_x4_cropped.png
1338985288,1033303310231020,-73.955453,40.743001,7/7/2021 17:19:34-04,7/7/2021 5:19:34 PM,5.623,104.412,17,103330331023102002_x4_cropped.png
1338985366,1033303310232112,-73.954769,40.743602,7/7/2021 17:08:35-04,7/7/2021 5:08:35 PM,6.223,104.373,17,103330331023211210_x4_cropped.png
1338984936,1033303310213220,-73.953772,40.744043,7/7/2021 17:06:01-04,7/7/2021 5:06:01 PM,8.195,92.026,17,103330331021322010_x4_cropped.png
1338985808,1033303310311100,-73.949669,40.748456,7/7/2021 17:46:10-04,7/7/2021 5:46:10 PM,5.496,204.053,17,103330331031110002_x4_cropped.png
1338985432,1033303310233120,-73.949115,40.750187,7/7/2021 17:54:16-04,7/7/2021 5:54:16 PM,6.185,14.204,17,103330331023312010_x4_cropped.png
1338985781,1033303310310311,-73.94727,40.748121,7/7/2021 17:45:45-04,7/7/2021 5:45:45 PM,7.016,283.086,17,103330331031031102_x4_cropped.png
1338985779,1033303310310303,-73.947082,40.748087,7/7/2021 17:45:37-04,7/7/2021 5:45:37 PM,7.104,284.231,17,103330331031030302_x4_cropped.png
1338985459,1033303310233303,-73.947845,40.752059,7/7/2021 17:54:39-04,7/7/2021 5:54:39 PM,5.973,37.229,17,103330331023330302_x4_cropped.png
1338985228,1033303310230030,-73.945828,40.75046,7/7/2021 17:34:41-04,7/7/2021 5:34:41 PM,8.635,31.234,17,103330331023003002_x4_cropped.png
1338985602,1033303310302002,-73.942655,40.748363,7/7/2021 17:43:32-04,7/7/2021 5:43:32 PM,5.682,216.582,17,103330331030200202_x4_cropped.png
1338753880,1033302330031120,-73.990371,40.769918,29/5/2019 17:19:43-04,5/29/2019 5:19:43 PM,15.399,299.035,17,103330233003112010_x4_cropped.png
1338753894,1033302330031212,-73.991506,40.77026,29/5/2019 17:21:02-04,5/29/2019 5:21:02 PM,11.472,236.608,17,103330233003121202_x4_cropped.png
1338889464,1033303131103320,-73.989468,40.762088,17/6/2021 18:24:47-04,6/17/2021 6:24:47 PM,19.175,120.47,18,103330313110332002_x4_cropped.png
1338753861,1033302330031011,-73.988781,40.769254,29/5/2019 17:19:20-04,5/29/2019 5:19:20 PM,22.238,298.672,17,103330233003101102_x4_cropped.png
1338941704,1033303222010020,-73.984044,40.759788,29/6/2021 18:39:36-04,6/29/2021 6:39:36 PM,18.622,120.486,18,103330322201002002_x4_cropped.png
1338941683,1033303222003303,-73.984478,40.760872,29/6/2021 18:38:21-04,6/29/2021 6:38:21 PM,20.034,205.432,18,103330322200330302_x4_cropped.png
1338941677,1033303222003231,-73.984219,40.761267,29/6/2021 18:37:21-04,6/29/2021 6:37:21 PM,21.175,204.878,18,103330322200323102_x4_cropped.png
1338941670,1033303222003212,-73.98383,40.761856,29/6/2021 18:37:11-04,6/29/2021 6:37:11 PM,21.843,207.249,18,103330322200321202_x4_cropped.png
1338941646,1033303222003032,-73.982852,40.763452,29/6/2021 18:36:48-04,6/29/2021 6:36:48 PM,24.78,204.446,18,103330322200303202_x4_cropped.png
1338941663,1033303222003133,-73.983524,40.762312,29/6/2021 18:37:04-04,6/29/2021 6:37:04 PM,22.22,206.444,18,103330322200313310_x4_cropped.png
1338941626,1033303222002322,-73.982216,40.76483,29/6/2021 18:36:33-04,6/29/2021 6:36:33 PM,26.183,195.495,18,103330322200232202_x4_cropped.png
1338753912,1033302330031320,-73.982692,40.766683,29/5/2019 17:17:34-04,5/29/2019 5:17:34 PM,26.737,299.154,17,103330233003132002_x4_cropped.png
1338941558,1033303222001312,-73.982227,40.76937,29/6/2021 18:34:10-04,6/29/2021 6:34:10 PM,27.751,185.168,18,103330322200131202_x4_cropped.png
1338941569,1033303222002001,-73.982213,40.768563,29/6/2021 18:35:18-04,6/29/2021 6:35:18 PM,27.459,177.235,18,103330322200200102_x4_cropped.png
1338941552,1033303222001300,-73.982217,40.76981,29/6/2021 18:34:05-04,6/29/2021 6:34:05 PM,27.911,179.856,18,103330322200130002_x4_cropped.png
1338939564,1033303221202230,-73.982469,40.770708,29/6/2021 17:22:58-04,6/29/2021 5:22:58 PM,25.932,298.009,17,103330322120223002_x4_cropped.png
1338941519,1033303222001033,-73.982284,40.772236,29/6/2021 18:33:40-04,6/29/2021 6:33:40 PM,26.909,179.841,18,103330322200103302_x4_cropped.png
1338939681,1033303221210201,-73.983889,40.775505,29/6/2021 17:25:24-04,6/29/2021 5:25:24 PM,24.923,29.533,17,103330322121020102_x4_cropped.png
1338941223,1033303221330213,-73.982046,40.776348,29/6/2021 18:00:19-04,6/29/2021 6:00:19 PM,26.985,2.954,18,103330322133021302_x4_cropped.png
1338889362,1033303131102102,-73.980487,40.757472,17/6/2021 17:54:36-04,6/17/2021 5:54:36 PM,20.091,299.89,17,103330313110210210_x4_cropped.png
1338889367,1033303131102113,-73.980908,40.757647,17/6/2021 17:55:16-04,6/17/2021 5:55:16 PM,19.9,299.991,17,103330313110211302_x4_cropped.png
1338889376,1033303131102200,-73.981661,40.75797,17/6/2021 17:56:37-04,6/17/2021 5:56:37 PM,19.223,300.718,17,103330313110220002_x4_cropped.png
1338941730,1033303222010202,-73.981847,40.758865,29/6/2021 18:40:02-04,6/29/2021 6:40:02 PM,20.296,105.33,18,103330322201020202_x4_cropped.png
