,ilabel,x,y,width,height,file,normn,norms,norme,normw,ifile,n,s,e,w,label
0,7,0.3543965250190375,0.4562248084687247,0.1546882465446249,0.5008837163958842,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.7066666666666668,0.20578295027078258,0.43174064829134995,0.2770524017467251,81,305.98666666666674,89.10401746724885,331.57681788775676,212.77624454148486,group
1,29,0.3543965250190375,0.4562248084687247,0.1546882465446249,0.5008837163958842,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.7066666666666668,0.20578295027078258,0.43174064829134995,0.2770524017467251,81,305.98666666666674,89.10401746724885,331.57681788775676,212.77624454148486,walking
2,26,0.3543965250190375,0.4562248084687247,0.1546882465446249,0.5008837163958842,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.7066666666666668,0.20578295027078258,0.43174064829134995,0.2770524017467251,81,305.98666666666674,89.10401746724885,331.57681788775676,212.77624454148486,talking
3,39,0.3543965250190375,0.4562248084687247,0.1546882465446249,0.5008837163958842,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.7066666666666668,0.20578295027078258,0.43174064829134995,0.2770524017467251,81,305.98666666666674,89.10401746724885,331.57681788775676,212.77624454148486,model_hint
4,0,0.7599187403549373,0.3364814814814813,0.0746170910493832,0.2674074074074071,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4701851851851849,0.20277777777777778,0.797227285879629,0.7226101948302457,81,203.59018518518505,87.80277777777778,612.2705555555551,554.9646296296287,alone
5,29,0.7599187403549373,0.3364814814814813,0.0746170910493832,0.2674074074074071,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4701851851851849,0.20277777777777778,0.797227285879629,0.7226101948302457,81,203.59018518518505,87.80277777777778,612.2705555555551,554.9646296296287,walking
6,39,0.7599187403549373,0.3364814814814813,0.0746170910493832,0.2674074074074071,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4701851851851849,0.20277777777777778,0.797227285879629,0.7226101948302457,81,203.59018518518505,87.80277777777778,612.2705555555551,554.9646296296287,model_hint
7,0,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4174074074074073,0.1800000000000001,0.653132233796296,0.5899999999999993,81,180.73740740740735,77.94000000000004,501.6055555555554,453.11999999999944,alone
8,22,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4174074074074073,0.1800000000000001,0.653132233796296,0.5899999999999993,81,180.73740740740735,77.94000000000004,501.6055555555554,453.11999999999944,standing
9,12,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped.png,0.4174074074074073,0.1800000000000001,0.653132233796296,0.5899999999999993,81,180.73740740740735,77.94000000000004,501.6055555555554,453.11999999999944,phone interaction
