,ilabel,x,y,width,height,file,normn,norms,norme,normw,ifile,n,s,e,w,label
0,0,0.3551942014408681,0.4939820359281438,0.1092948867889223,0.3959481037924149,020310220013302002_x4_cropped.png,0.6919560878243513,0.2960079840319364,0.40984164483532926,0.30054675804640696,557,388.18736526946105,166.06047904191632,419.67784431137716,307.7598802395207,alone
1,31,0.3551942014408681,0.4939820359281438,0.1092948867889223,0.3959481037924149,020310220013302002_x4_cropped.png,0.6919560878243513,0.2960079840319364,0.40984164483532926,0.30054675804640696,557,388.18736526946105,166.06047904191632,419.67784431137716,307.7598802395207,walking
2,41,0.3551942014408681,0.4939820359281438,0.1092948867889223,0.3959481037924149,020310220013302002_x4_cropped.png,0.6919560878243513,0.2960079840319364,0.40984164483532926,0.30054675804640696,557,388.18736526946105,166.06047904191632,419.67784431137716,307.7598802395207,model_hint
3,4,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped.png,0.6479840319361275,0.2920558882235531,0.30820137069610776,0.20945324195359283,557,363.51904191616757,163.8433532934133,315.59820359281434,214.48011976047906,couple/2people
4,31,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped.png,0.6479840319361275,0.2920558882235531,0.30820137069610776,0.20945324195359283,557,363.51904191616757,163.8433532934133,315.59820359281434,214.48011976047906,walking
5,11,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped.png,0.6479840319361275,0.2920558882235531,0.30820137069610776,0.20945324195359283,557,363.51904191616757,163.8433532934133,315.59820359281434,214.48011976047906,phone interaction
6,41,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped.png,0.6479840319361275,0.2920558882235531,0.30820137069610776,0.20945324195359283,557,363.51904191616757,163.8433532934133,315.59820359281434,214.48011976047906,model_hint
7,4,0.8015610965568866,0.3394710578842316,0.0831221931137723,0.2389421157684631,020310220013302002_x4_cropped.png,0.45894211576846317,0.22000000000000003,0.8431221931137727,0.7600000000000005,557,257.4665269461078,123.42000000000002,863.3571257485032,778.2400000000005,couple/2people
8,31,0.8015610965568866,0.3394710578842316,0.0831221931137723,0.2389421157684631,020310220013302002_x4_cropped.png,0.45894211576846317,0.22000000000000003,0.8431221931137727,0.7600000000000005,557,257.4665269461078,123.42000000000002,863.3571257485032,778.2400000000005,walking
9,27,0.8015610965568866,0.3394710578842316,0.0831221931137723,0.2389421157684631,020310220013302002_x4_cropped.png,0.45894211576846317,0.22000000000000003,0.8431221931137727,0.7600000000000005,557,257.4665269461078,123.42000000000002,863.3571257485032,778.2400000000005,talking
10,41,0.8015610965568866,0.3394710578842316,0.0831221931137723,0.2389421157684631,020310220013302002_x4_cropped.png,0.45894211576846317,0.22000000000000003,0.8431221931137727,0.7600000000000005,557,257.4665269461078,123.42000000000002,863.3571257485032,778.2400000000005,model_hint
11,0,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped.png,0.9259880239520959,0.46598802395209593,0.21366895116017962,0.1165610965568862,557,519.4792814371258,261.4192814371258,218.79700598802393,119.35856287425148,alone
12,31,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped.png,0.9259880239520959,0.46598802395209593,0.21366895116017962,0.1165610965568862,557,519.4792814371258,261.4192814371258,218.79700598802393,119.35856287425148,walking
13,11,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped.png,0.9259880239520959,0.46598802395209593,0.21366895116017962,0.1165610965568862,557,519.4792814371258,261.4192814371258,218.79700598802393,119.35856287425148,phone interaction
14,41,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped.png,0.9259880239520959,0.46598802395209593,0.21366895116017962,0.1165610965568862,557,519.4792814371258,261.4192814371258,218.79700598802393,119.35856287425148,model_hint
15,4,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped.png,0.6529740518962075,0.28900199600798393,0.18264712761976046,0.06164027413922155,557,366.3184431137724,162.13011976047898,187.0306586826347,63.11964071856287,couple/2people
16,31,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped.png,0.6529740518962075,0.28900199600798393,0.18264712761976046,0.06164027413922155,557,366.3184431137724,162.13011976047898,187.0306586826347,63.11964071856287,walking
17,27,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped.png,0.6529740518962075,0.28900199600798393,0.18264712761976046,0.06164027413922155,557,366.3184431137724,162.13011976047898,187.0306586826347,63.11964071856287,talking
18,41,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped.png,0.6529740518962075,0.28900199600798393,0.18264712761976046,0.06164027413922155,557,366.3184431137724,162.13011976047898,187.0306586826347,63.11964071856287,model_hint
