ifile,normx,normy,normwidth,normheight,ilabel,num_labels,is_challenging,data_source
0,0.0158321334855507,0.3391494002181025,0.0292745109732824,0.2268266085059977,"[0, 29, 6]",3,False,BSV
0,0.0364437789667393,0.3527808069792801,0.0549643879498364,0.223555070883315,"[0, 6]",2,False,BSV
0,0.0899145694179388,0.3438665546680816,0.0495874369547434,0.2190090090090085,"[0, 6]",2,False,BSV
0,0.2820910364980914,0.2782606324972736,0.0325462189885496,0.1365212649945472,"[0, 6]",2,False,BSV
1,0.890140297190068,0.3403456318517944,0.0656515452683276,0.2517698242012903,"[2, 5, 13]",3,False,BSV
2,0.8452214421452702,0.3828828828828828,0.0987119932432432,0.2792792792792792,"[2, 5]",2,False,BSV
3,0.2622745988175676,0.3131081081081081,0.0845491976351349,0.2137837837837837,"[2, 13, 6]",3,False,BSV
3,0.5425816677246167,0.3102899524703755,0.0544176453527887,0.1934741491133041,"[2, 6]",2,False,BSV
4,0.2971538583847406,0.2899687824212996,0.1049033280547492,0.2094741998632829,"[2, 6]",2,False,BSV
6,0.3815639756760812,0.2453064990995574,0.054031777106797,0.137261709170157,"[2, 5, 13]",3,False,BSV
6,0.4466980956171726,0.6215833705744557,0.0836159509235182,0.5108169986884845,"[0, 8, 23]",3,False,BSV
6,0.6056700728194402,0.4612601626016253,0.0715807229815165,0.342520325203252,"[0, 5, 23]",3,False,BSV
7,0.0741797283176593,0.3766686762007892,0.0716405433646812,0.2533373524015799,"[0, 5]",2,False,BSV
7,0.1806169499577701,0.3052242353850334,0.0412338999155406,0.1573559762599012,"[0, 4, 28]",3,False,BSV
8,0.1549111807732497,0.1621227953516354,0.0172413793103448,0.0476831751034221,"[0, 6]",2,False,BSV
8,0.1714165383425332,0.3674703298160137,0.0707651084184691,0.2377747165947966,"[0, 29, 6, 23]",4,False,BSV
8,0.1797283176593521,0.1630764588537039,0.0167189132706374,0.0457758480992852,"[0, 6]",2,False,BSV
8,0.4591082723756977,0.3753598691384949,0.0444861372278848,0.21071973827699,"[0, 6, 23]",3,False,BSV
8,0.7949999999999992,0.4177041521905283,0.0699999999999999,0.2954083043810569,"[0, 6, 23]",3,False,BSV
8,0.91,0.3376335877862594,0.0399999999999999,0.215267175572519,"[0, 29, 5]",3,False,BSV
8,0.965,0.38,0.0700000000000004,0.2799999999999999,"[0, 6]",2,False,BSV
8,0.9856321839080456,0.2442967980212413,0.0287356321839073,0.0994988871985575,"[0, 6]",2,False,BSV
9,0.0154719562243501,0.2793637753571767,0.0309439124487003,0.2187275507143535,"[0, 5]",2,False,BSV
9,0.2351299589603285,0.3012425169047846,0.0502599179206565,0.1367630527971582,"[0, 4]",2,False,BSV
9,0.3391766278665375,0.2971708258702755,0.0800544667069027,0.1357213527330122,"[2, 4]",2,False,BSV
9,0.4891039671682632,0.322485033809569,0.0382079343365251,0.2099880270476552,"[0, 29, 6]",3,False,BSV
9,0.7470064768635452,0.2994615046791088,0.0623724103624093,0.2160350853085751,"[0, 6]",2,False,BSV
9,0.8537416254849584,0.278321282056708,0.0453709508881919,0.2017358142649618,"[0, 6]",2,False,BSV
9,0.8586805753136311,0.3380702269311747,0.0797334829619486,0.2392035169254121,"[0, 6]",2,False,BSV
9,0.9100113141414612,0.3225541776749721,0.0673371528388282,0.2098497393168494,"[0, 6]",2,False,BSV
10,0.0687157442235358,0.3008849390960524,0.113315421816228,0.2017698781921052,"[2, 5, 13]",3,False,BSV
10,0.3243142696396416,0.2354760065465357,0.0360893543263049,0.1309520130930717,"[0, 6]",2,False,BSV
10,0.5156421278882324,0.2458849390960526,0.0312842557764644,0.1517698781921053,"[0, 6, 23]",3,False,BSV
10,0.7203744910798955,0.3057890550094296,0.0744793896833028,0.2115781100188596,"[2, 6, 23]",3,False,BSV
10,0.8017168189145611,0.1598082318267542,0.0192539095114644,0.0678465854614034,"[0, 6]",2,False,BSV
10,0.8860827512090278,0.1284878369304831,0.0161203653949489,0.0451178664030704,"[0, 5]",2,False,BSV
11,0.4477667069929116,0.3298146128680479,0.0755334139858225,0.2396292257360958,"[2, 6]",2,False,BSV
12,0.6968727480598642,0.4422838137472285,0.1537454961197338,0.3331263858093125,"[2, 5, 13]",3,False,BSV
13,0.0739592403132972,0.3691745231467689,0.0711995673559571,0.2430904302604426,"[0, 6, 23]",3,False,BSV
13,0.3756063007492142,0.2653598691384952,0.0344843095136966,0.1550817884405672,"[0, 6]",2,False,BSV
13,0.4382162862692274,0.3506556963778531,0.0429984014255572,0.2295937326532343,"[0, 5]",2,False,BSV
14,0.130151515151515,0.4271524762655133,0.0573145245559038,0.3143049525310262,"[0, 5]",2,False,BSV
14,0.1835781169254922,0.5085387131952007,0.1119618141315665,0.4309051254089412,"[0, 5]",2,False,BSV
14,0.5267271196454703,0.4154217711527755,0.0850947826556228,0.2898629452600451,"[0, 29, 5]",3,False,BSV
16,0.3714231938243599,0.301653515352772,0.0828463876487213,0.1823264336600383,"[2, 5, 13, 12]",4,False,BSV
16,0.5397795119956377,0.2962871237091442,0.0395590239912757,0.1877789963645092,"[0, 19, 5]",3,False,BSV
17,0.3228030211335234,0.4499073064340234,0.0782915177111428,0.099814612868048,[43],1,False,BSV
17,0.3582544543899332,0.3620238250413388,0.1501139244538466,0.2736395990893269,"[2, 25, 6]",3,False,BSV
18,0.9781347962382444,0.5363576881134131,0.043730407523511,0.3927153762268263,"[0, 5]",2,False,BSV
