ifile,x,y,width,height,ilabel,is_valid,is_challenging,data_source,unique_ifile,num_labels
0,0.0158321334855507,0.3391494002181025,0.0292745109732824,0.2268266085059977,"[0, 13, 5]",True,False,BSV,BSV_0,3
0,0.0364437789667393,0.3527808069792801,0.0549643879498364,0.223555070883315,"[0, 5]",True,False,BSV,BSV_0,2
0,0.0899145694179388,0.3438665546680816,0.0495874369547434,0.2190090090090085,"[0, 5]",True,False,BSV,BSV_0,2
0,0.2820910364980914,0.2782606324972736,0.0325462189885496,0.1365212649945472,"[0, 5]",True,False,BSV,BSV_0,2
1,0.888572899070946,0.3374846413455892,0.0771457981418919,0.257491805213701,"[2, 4, 15]",True,False,BSV,BSV_1,3
2,0.8452214421452702,0.3828828828828828,0.0987119932432432,0.2792792792792792,"[2, 4]",True,False,BSV,BSV_2,2
3,0.2622745988175676,0.3131081081081081,0.0845491976351349,0.2137837837837837,"[2, 15, 5]",True,False,BSV,BSV_3,3
3,0.5446715318834456,0.3064752984621014,0.0659118982263517,0.2011034571298512,"[2, 5]",True,False,BSV,BSV_3,2
4,0.2741653526376144,0.2923529411764706,0.06833070527523,0.2047058823529412,"[0, 5]",True,False,BSV,BSV_4,2
4,0.3247795119956379,0.2665430752453651,0.0495590239912757,0.1730861504907306,"[0, 5]",True,False,BSV,BSV_4,2
6,0.3818252086959359,0.246260162601626,0.0618687677024086,0.152520325203252,"[2, 4, 15]",True,False,BSV,BSV_6,3
6,0.4435632993789283,0.6144308943089432,0.10137979627357,0.5251219512195121,"[0, 7, 19]",True,False,BSV,BSV_6,3
6,0.6004454124223658,0.4612601626016259,0.071580722981517,0.3425203252032522,"[0, 4, 19]",True,False,BSV,BSV_6,3
7,0.07,0.3766686762007893,0.0799999999999999,0.2533373524015799,"[0, 4]",True,False,BSV,BSV_7,2
7,0.1806169499577702,0.3090388893933072,0.0412338999155406,0.1649852842764486,"[0, 3, 11]",True,False,BSV,BSV_7,3
8,0.1735064025013631,0.3631788440567061,0.0780796329743729,0.246357688113413,"[0, 13, 5, 19]",True,False,BSV,BSV_8,4
8,0.4606756704948199,0.375359869138495,0.0413513409896402,0.2107197382769901,"[0, 5, 19]",True,False,BSV,BSV_8,3
8,0.7949999999999992,0.4219956379498363,0.0699999999999999,0.303991275899673,"[0, 5, 19]",True,False,BSV,BSV_8,3
8,0.91,0.3376335877862594,0.0399999999999999,0.215267175572519,"[0, 13, 4]",True,False,BSV,BSV_8,3
8,0.965,0.38,0.0700000000000004,0.2799999999999999,"[0, 5]",True,False,BSV,BSV_8,2
9,0.0154719562243501,0.2793637753571767,0.0309439124487003,0.2187275507143535,"[0, 4]",True,False,BSV,BSV_9,2
9,0.2351299589603283,0.3012425169047845,0.0502599179206564,0.142485033809569,"[0, 3]",True,False,BSV,BSV_9,2
9,0.3391766278665379,0.2952634988661384,0.0852791271039769,0.1395360067412855,"[2, 3]",True,False,BSV,BSV_9,2
9,0.4891039671682632,0.322485033809569,0.0382079343365251,0.2099880270476552,"[0, 13, 5]",True,False,BSV,BSV_9,3
9,0.7519699042407659,0.2937395236666981,0.0639398084815321,0.2274790473333966,"[0, 5]",True,False,BSV,BSV_9,2
9,0.8464271009290537,0.2735529645463661,0.06,0.2112724492856464,"[0, 5]",True,False,BSV,BSV_9,2
9,0.8586805753136311,0.3380702269311747,0.0797334829619486,0.2392035169254121,"[0, 5]",True,False,BSV,BSV_9,2
9,0.9118399452804372,0.3187395236666983,0.0636798905608756,0.2174790473333968,"[0, 5]",True,False,BSV,BSV_9,2
10,0.0687157442235358,0.3008849390960524,0.113315421816228,0.2017698781921052,"[2, 4, 15]",True,False,BSV,BSV_10,3
10,0.3211794734013971,0.2383369970527411,0.0423589468027943,0.1366739941054824,"[0, 5]",True,False,BSV,BSV_10,2
10,0.5156421278882324,0.2458849390960526,0.0312842557764644,0.1517698781921053,"[0, 5]",True,False,BSV,BSV_10,2
10,0.7188070929607732,0.3057890550094298,0.0776141859215472,0.2115781100188597,"[2, 5]",True,False,BSV,BSV_10,2
10,0.8017168189145611,0.1598082318267542,0.0234336378291237,0.0678465854614034,"[0, 5]",True,False,BSV,BSV_10,2
10,0.8860827512090278,0.1284878369304831,0.0161203653949489,0.0451178664030704,"[0, 4]",True,False,BSV,BSV_10,2
12,0.4477667069929116,0.3298146128680479,0.0755334139858225,0.2396292257360958,"[2, 5]",True,False,BSV,BSV_12,2
13,0.6968727480598642,0.4422838137472285,0.1537454961197338,0.3331263858093125,"[2, 4, 15]",True,False,BSV,BSV_13,3
14,0.0697795119956379,0.365359869138495,0.0795590239912759,0.2507197382769901,"[0, 5, 19]",True,False,BSV,BSV_14,3
14,0.3787410969874586,0.2653598691384949,0.0407539019901857,0.155081788440567,"[0, 5]",True,False,BSV,BSV_14,2
14,0.4345590239912757,0.3482715376226823,0.0503129259814614,0.2343620501635767,"[0, 4]",True,False,BSV,BSV_14,2
15,0.115,0.42,0.05,0.3,"[0, 4]",True,False,BSV,BSV_15,2
15,0.1846230490049072,0.5085387131952017,0.1098719499727371,0.4309051254089419,"[0, 4]",True,False,BSV,BSV_15,2
15,0.524637255486641,0.4139912758996732,0.0892745109732821,0.3079825517993459,"[0, 13, 4]",True,False,BSV,BSV_15,3
17,0.347389755997819,0.2992693565976008,0.034779511995638,0.1985387131952019,"[0, 4]",True,False,BSV,BSV_17,2
17,0.3882859144970009,0.3043620501635769,0.0365718289940022,0.1487241003271538,"[0, 3]",True,False,BSV,BSV_17,2
17,0.5397795119956378,0.2919956379498362,0.0395590239912758,0.2039912758996728,"[0, 4]",True,False,BSV,BSV_17,2
18,0.3209743899945475,0.4499073064340235,0.0819487799890949,0.099814612868048,[28],True,False,BSV,BSV_18,1
18,0.3966557083084284,0.3541766630316246,0.0733114166168556,0.2683533260632497,"[2, 5]",True,False,BSV,BSV_18,2
20,0.0665710872162484,0.1659620709812498,0.033142174432497,0.1519241419624995,"[0, 4]",True,False,BSV,BSV_20,2
20,0.2874671445639188,0.2531165561587493,0.0549342891278375,0.2262331123174985,"[0, 4]",True,False,BSV,BSV_20,2
20,0.3115292712066905,0.1585910881012434,0.0280764635603344,0.1478593603349938,"[0, 5]",True,False,BSV,BSV_20,2
20,0.315,0.1845393135699994,0.0299999999999999,0.1509213728600004,"[0, 13, 4]",True,False,BSV,BSV_20,3
20,0.3397789725209081,0.2313279348643745,0.03,0.1978862129437492,"[0, 4]",True,False,BSV,BSV_20,2
20,0.3716487455197132,0.1797696567849996,0.0277658303464753,0.1699999999999997,"[0, 4]",True,False,BSV,BSV_20,2
20,0.3979211469534053,0.1996748342381242,0.0319474313022697,0.1593496684762482,"[0, 4]",True,False,BSV,BSV_20,2
20,0.3999999999999997,0.2916937987474993,0.0399999999999999,0.2323848283924999,"[0, 4]",True,False,BSV,BSV_20,2
20,0.4114934289127837,0.1659620709812498,0.0229868578255673,0.1519241419624996,"[0, 4]",True,False,BSV,BSV_20,2
20,0.504480286738352,0.0655827807937472,0.016129032258064,0.0977779640924959,"[0, 4]",True,False,BSV,BSV_20,2
20,0.5471923536439666,0.0554472601256227,0.014336917562724,0.070352437578747,"[0, 4]",True,False,BSV,BSV_20,2
20,0.7981421744324966,0.1919241419624994,0.0443369175627243,0.1399999999999999,"[0, 5, 19]",True,False,BSV,BSV_20,3
21,0.9385846339967292,0.4316357688113412,0.0738975599781895,0.2599781897491824,"[0, 5]",True,False,BSV,BSV_21,2
22,0.1565290178571428,0.3784078516902944,0.0716926799345692,0.0872410032715376,[28],True,False,BSV,BSV_22,1
22,0.2338975599781892,0.3190021810250815,0.0677951199563792,0.1787022900763356,"[0, 5]",True,False,BSV,BSV_22,2
22,0.2369487799890949,0.3446292257360954,0.0538975599781894,0.2365430752453648,"[0, 4]",True,False,BSV,BSV_22,2
22,0.6932859144969999,0.3172628135223558,0.0465718289940022,0.2545256270447107,"[0, 7]",True,False,BSV,BSV_22,2
23,0.1947651138222464,0.1979280261723009,0.0430156079607415,0.1210468920392584,"[0, 3]",True,False,BSV,BSV_23,2
23,0.3547795119956378,0.2077153762268265,0.029559023991276,0.1354307524536532,"[0, 4]",True,False,BSV,BSV_23,2
23,0.4683641459923661,0.3475408942202834,0.0767282919847327,0.2550817884405669,"[0, 5]",True,False,BSV,BSV_23,2
24,0.5826742690158128,0.3995365321701197,0.0746514619683754,0.2990730643402396,"[2, 4]",True,False,BSV,BSV_24,2
25,0.0525320125068157,0.4204416575790615,0.0716642669711014,0.2717884405670665,"[0, 5]",True,False,BSV,BSV_25,2
28,0.8184565839694657,0.3310905125408939,0.1169131679389314,0.2618102508178841,"[2, 4, 15]",True,False,BSV,BSV_28,3
29,0.0303769509950927,0.274814612868048,0.0607539019901854,0.1696292257360959,"[0, 5]",True,False,BSV,BSV_29,2
29,0.1194807924959105,0.2320883315158123,0.0389615849918211,0.1641766630316247,"[0, 5]",True,False,BSV,BSV_29,2
29,0.378662865492093,0.1846292257360959,0.0373257309841873,0.1292584514721919,"[0, 4]",True,False,BSV,BSV_29,2
29,0.5111308529852782,0.3280861504907305,0.0622617059705558,0.2161723009814613,"[0, 4]",True,False,BSV,BSV_29,2
29,0.6756756704948197,0.2634460196292255,0.0480796329743726,0.190883315158124,"[0, 5]",True,False,BSV,BSV_29,2
29,0.7656116454811884,0.3126335877862594,0.0712232909623773,0.225267175572519,"[0, 4]",True,False,BSV,BSV_29,2
30,0.0562774539704751,0.3459869138495087,0.1107910039060539,0.2854307524536525,"[2, 5]",True,False,BSV,BSV_30,2
30,0.0600426194452017,0.3893129770992363,0.0997723129089422,0.1068702290076335,[28],True,False,BSV,BSV_30,1
30,0.9136628654920924,0.214640130861505,0.0473257309841873,0.1299781897491822,"[0, 7]",True,True,BSV,BSV_30,2
30,0.9159743899945472,0.1429934569247546,0.0223897559978193,0.0685387131952017,"[0, 5]",True,False,BSV,BSV_30,2
30,0.9699999999999996,0.2649073064340239,0.0600000000000002,0.1898146128680479,"[0, 4]",True,False,BSV,BSV_30,2
31,0.3790398164871864,0.2127262813522353,0.0249359749863686,0.105452562704471,"[0, 4]",True,False,BSV,BSV_31,2
31,0.418883353496455,0.1880861504907306,0.0177667069929116,0.0961723009814612,"[0, 4]",True,False,BSV,BSV_31,2
31,0.4403769509950928,0.1996292257360958,0.014779511995638,0.070905125408942,"[0, 5]",True,False,BSV,BSV_31,2
31,0.465,0.2224482006543075,0.03,0.11,"[0, 4]",True,False,BSV,BSV_31,2
31,0.4862522414823669,0.2029336649075758,0.0460251046025104,0.0872832967344412,"[0, 18, 5]",True,False,BSV,BSV_31,3
31,0.5418071641419869,0.2042693565976004,0.0436143282839737,0.1085387131952017,"[0, 7, 19]",True,False,BSV,BSV_31,3
31,0.595945401956107,0.1957470010905125,0.0161308529852775,0.0926935659760085,"[0, 4]",True,False,BSV,BSV_31,2
31,0.6242603044915486,0.2319956379498361,0.0425462189885493,0.1199999999999999,"[0, 4, 19]",True,False,BSV,BSV_31,3
33,0.3297795119956378,0.2587241003271534,0.0595590239912758,0.2174482006543073,"[0, 5]",True,False,BSV,BSV_33,2
33,0.6627667069929124,0.3504307524536532,0.0861592659487462,0.2808615049073064,"[2, 5]",True,False,BSV,BSV_33,2
34,0.4473897559978191,0.0736314067611776,0.014779511995638,0.0672628135223554,"[0, 4]",True,False,BSV,BSV_34,2
34,0.574306542462116,0.5697180217154642,0.4242033248369931,0.4747188093498772,[0],True,True,BSV,BSV_34,1
34,0.6933279588672303,0.2633587786259539,0.1881932848282442,0.2061068702290075,"[1, 5]",True,False,BSV,BSV_34,2
34,0.7269487799890939,0.3408124318429663,0.0347795119956381,0.1998146128680481,"[0, 13, 4]",True,False,BSV,BSV_34,3
35,0.0212731094942748,0.4680752453653217,0.0425462189885496,0.3361504907306433,"[0, 4]",True,False,BSV,BSV_35,2
35,0.1699075620229005,0.3819629225736092,0.1530724338876771,0.2839258451472187,"[0, 5, 25]",True,False,BSV,BSV_35,3
35,0.1906756704948202,0.6526335877862596,0.1413513409896402,0.425267175572519,"[0, 4]",True,False,BSV,BSV_35,2
35,0.4177667069929113,0.289333502076117,0.0355334139858232,0.0786670041522338,"[0, 5]",True,False,BSV,BSV_35,2
35,0.6121692679934585,0.2688033128518292,0.0443385359869133,0.117606625703658,"[0, 4]",True,False,BSV,BSV_35,2
35,0.7262090844806421,0.3196292257360958,0.0724181689612871,0.1992584514721919,"[2, 4]",True,False,BSV,BSV_35,2
35,0.7997795119956372,0.3214503816793893,0.034779511995638,0.2185387131952017,"[0, 4, 14]",True,False,BSV,BSV_35,3
35,0.8346372554866409,0.3713500224232616,0.0477667069929117,0.1787087689468516,"[0, 4]",True,False,BSV,BSV_35,2
35,0.8788193284828235,0.3364503816793894,0.0776386569656498,0.2329007633587784,"[2, 4, 15]",True,False,BSV,BSV_35,3
35,0.9309743899945468,0.328728329673444,0.0419487799890948,0.2174566593468882,"[0, 4]",True,False,BSV,BSV_35,2
35,0.9649408987260616,0.3838996396702694,0.0495590239912759,0.2234351145038168,"[0, 4, 23]",True,False,BSV,BSV_35,3
36,0.5900000000000003,0.4014503816793893,0.04,0.2629007633587786,"[0, 4]",True,False,BSV,BSV_36,2
36,0.9135846339967284,0.3215430752453653,0.0471692679934569,0.2030861504907305,"[0, 5]",True,False,BSV,BSV_36,2
36,0.9562731094942748,0.4299073064340241,0.0725462189885496,0.2798146128680479,"[0, 5]",True,False,BSV,BSV_36,2
37,0.018285914497001,0.3787241003271536,0.0365718289940021,0.2374482006543074,"[0, 5]",True,False,BSV,BSV_37,2
37,0.0500782314953653,0.3320883315158122,0.0801564629907306,0.2241766630316249,"[0, 5]",True,False,BSV,BSV_37,2
37,0.7465718289940003,0.305359869138495,0.0731436579880046,0.2307197382769902,"[0, 5]",True,False,BSV,BSV_37,2
37,0.7542667368116139,0.2546346782987999,0.044807924959106,0.1166848418756814,"[0, 3]",True,False,BSV,BSV_37,2
38,0.1109743899945473,0.2998146128680479,0.0407539019901853,0.2083533260632497,"[0, 4]",True,False,BSV,BSV_38,2
38,0.3384491931911123,0.1423118865866957,0.0280796329743729,0.0708833151581243,"[2, 5]",True,False,BSV,BSV_38,2
38,0.8053769509950927,0.324907306434024,0.0507539019901852,0.2098146128680478,"[0, 5, 19]",True,False,BSV,BSV_38,3
38,0.8300782314953653,0.2797219193020718,0.0401564629907307,0.1994438386041439,"[0, 5, 19]",True,False,BSV,BSV_38,3
